source_file,source_row,raw_route,raw_moq,channel_type,channel_name,product_name_raw,product_name_std,package_type,unit_quantity,unit,sales_unit,quantity_2025,wholesale_price,product_cogs,gross_profit_per_unit,gross_margin,operating_expense_per_unit,invoice_tax_per_unit,expense_subtotal_per_unit,reported_net_profit_per_unit,calculated_net_profit_per_unit,net_profit_per_unit,reported_contribution_profit,calculated_contribution_profit,contribution_profit,reported_revenue,calculated_revenue,revenue,revenue_source,profit_source,analysis_sku,quality_flags
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,30,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,120.0,140.0,33.0,107.0,76.43,72.51757333,7.0,79.5,27.0,27.482426669999995,27.482426669999995,3298.0,3297.8912003999994,3298.0,16800.0,16800.0,16800.0,reported,reported,桂圓黑糖_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,31,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,40.0,130.0,26.0,104.0,80.0,67.33774667,6.5,73.8,30.0,30.16225333,30.16225333,1206.0,1206.4901332,1206.0,5200.0,5200.0,5200.0,reported,reported,玫瑰四物黑糖_None_None_130.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,32,單顆包(每台斤）,25台斤(一箱),未分類,,原味黑糖 ,原味黑糖,單顆包,600,g,台斤,,100.0,34.0,66.0,66.0,51.79826667,5.0,56.8,9.0,9.201733330000003,9.201733330000003,0.0,,0.0,0.0,,0.0,reported,reported,原味黑糖 _None_單顆包_100.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,33,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,,130.0,40.0,90.0,69.23,67.33774667,6.5,73.8,16.0,16.16225333,16.16225333,0.0,,0.0,0.0,,0.0,reported,reported,薑汁黑糖_None_None_130.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,34,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,,130.0,47.0,83.0,63.85,67.33774667,6.5,73.8,9.0,9.162253329999999,9.162253329999999,0.0,,0.0,0.0,,0.0,reported,reported,桂圓黑糖_None_None_130.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,35,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,,130.0,39.0,91.0,70.0,67.33774667,6.5,73.8,17.0,17.16225333,17.16225333,0.0,,0.0,0.0,,0.0,reported,reported,玫瑰四物黑糖_None_None_130.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,36,,,未分類,,桂圓紅棗薑,桂圓紅棗薑,,,,,,150.0,46.0,104.0,69.33,77.6974,7.5,85.2,19.0,18.802599999999998,18.802599999999998,0.0,,0.0,0.0,,0.0,reported,reported,桂圓紅棗薑_None_None_150.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,37,,,未分類,,冬瓜,冬瓜,,,,,,140.0,41.0,99.0,70.71,72.51757333,7.0,79.5,19.0,19.482426669999995,19.482426669999995,0.0,,0.0,0.0,,0.0,reported,reported,冬瓜_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,38,蜜類-350ml,,未分類,,黑糖蜜,黑糖蜜,蜜類瓶裝,350.0,ml,瓶,2362.0,130.0,39.0,91.0,70.31,67.33774667,6.5,73.8,18.0,17.16225333,17.16225333,41482.0,40537.24236546,41482.0,307060.0,307060.0,307060.0,reported,reported,黑糖蜜_None_蜜類瓶裝_130.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,39,蜜類-150ml,,未分類,,黑糖檸檬,黑糖檸檬,蜜類瓶裝,150.0,ml,瓶,63.0,117.0,51.0,66.0,56.15,60.603972,5.85,66.5,-1.0,-0.4539719999999985,-0.4539719999999985,-48.0,-28.600235999999903,-48.0,7371.0,7371.0,7371.0,reported,reported,黑糖檸檬_None_蜜類瓶裝_117.0,negative_profit
